AH1-V-ER0-M-EH2-N-T-AH0-L-IY0, GOVERNMENTALLY
AE1-N-D-M-AY0-ER0, SANDMEYER
AH1-N-S-W-ER0-TH, UNSWORTH
EY1-D-IH0-NG, AIDING BLADING BLOCKADING BRAIDING CASCADING CRUSADING DEGRADING EVADING FADING GRADING INVADING KADING LADING MASQUERADING NADING PARADING PERSUADING PERVADING RAIDING SERENADING SHADING TRADING UPGRADING WADING
ER1-K-HH-AH0-M, KIRKHAM
AH1-B-L-IH0-K, INTERPUBLIC NONPUBLIC PUBLIC
AA1-L-AH0-T-IY0-Z, INEQUALITIES QUALITIES
AE1-L-AH0-Z-AA0-R, SALAZAR
AH1-N-D-S-T-IY2-N, PFUNDSTEIN
AA1-L-AH0-M-ER0, POLYMER
IY1-G-R-EY2-V-Z, SEAGRAVES
AE1-L-B-R-UH0-K-S, HALBROOKS
AE1-G-D-AH0-L-AH0-N, MAGDALEN
AO1-G-AH0-G-R-AE2-M, LOGOGRAM
AA1-R-K-AY2-V, ARCHIVE
IH1-R-S-IY0, KEIRSEY
AH1-N-S-ER0, UNSER
IH1-N-T-ER0-S-K-OW2-P, INTERSCOPE
IH1-D-K-IH2-F, MIDKIFF
OW1-G-AA2-R-TH, HOGARTH
EY1-N-SH-AH0, CLEMENTIA
IH1-G-N-IY0-AH0, INSIGNIA
AE1-D-S-T-R-AH0-P, KLADSTRUP
AE1-P-S-AH0-L, APSELL CAPSULE
AA1-N-AH0-HH-Y-UW2, DONAHUE DONOHUE
AE1-N-S-K-IY0-Z, IZANSKY'S
AH1-L-CH-IH0-NG, MULCHING
AO1-L, ALL ANTOL APPALL AUL AULL AWL BACALL BALL BAWL BEFALL BRAWL CALL CRALL CRAWL DALL DAUL DEPAUL DRAWL EDSALL ENGWALL ENTHRAL FAIRALL FAUL FAULL FORESTALL GALL GAUL GAULLE GRALL GRAUL HALL HAUL INSTALL KALL KAUL KRALL KROL KROLL LALL LUMINOL MALL MAUL MAULE MAULL MCCALL MCCAUL MCFALL MCFAUL MCNALL MCPHAUL MEHALL METALL MOL MONTREAL NALL NEPAL PAUL PAULE PAULL PETERPAUL POL PRALL RALL RAUL RAWL RECALL(2) SABOL SALL SAUL SCHALL SCHMALL SCHNALL SCHWALL SCRAWL SENEGAL SHAUL SHAULL SHAWL SMALL SPALL SPRAWL SQUALL STALL TALL TAUL THALL THRALL VANDALL VANHALL VANTOL WAHLE WAL WALL WALLE WITHAL
IH1-N-R-IH0-K-S, HINRICHS
AE1-P-S-T-AH0-N, CAPSTAN
AH1-IY0, CRUEY
AH1-NG-K-CH-UW0-EY2-T-AH0-D, PUNCTUATED
AY1-T-IH0-V, MIGHT'VE
EH1-L-D-R-IH0-CH, ELDRITCH
AH1-S-AH0-L, BRUSSEL BUSSELL BUSTLE FUSSELL HUSTLE MUSCLE MUSSEL MUSSELL NUSSLE RUSSEL RUSSELL RUSTLE TRUSSELL TUSSLE
ER1-K-IY0, ALDERCY BERKEY BIRKEY BIRKY BURKEY DURKEE JERKY KIRKEY MERKEY MURKY PEARCY PERKEY PERKY PIRKEY PURKEY QUIRKY SHIRKEY SIRCY STURKIE TURKEY YERKEY
EH1-S-K-AH0-T, ESCOTT PRESCOT TRESCOTT
OW1-Z-M, COSME
AE1-NG-L-AH0-S-AY2-Z-D, ANGLICIZED
AY1-N-D-S-AY2-D, BLINDSIDE
AH1-L-K-AH0-N-Z, VULCAN'S VULCANS
AY1-S-AH0-N-AW0-ER0, REISENAUER
AO1-R-K-AE2-S-T-AH0-D, FORECASTED
EY1-N-V-IH2-L, MAINVILLE RAINVILLE
AE1-S-P-AH0-N-W-AO0-L, ASPINWALL
AH1-N-D-ER0-F-AH0-L-N-AH0-S, WONDERFULNESS
EH1-R-AH0-TH-AA2-N, MARATHON
EH1-R-L-UW2-M, HEIRLOOM
AE1-L-B-ER0-D-IH0-NG, ALBERDING
AE1-M-Z-D-AH0-N, AMSDEN
AH1-DH-ER0-HH-UH2-D, BROTHERHOOD MOTHERHOOD
IH1-N-T-R-OW0, INTRO
IH1-R-AH0-T-EY2-T, IRRITATE
IH1-JH-AH0-L-AH0-N-S, VIGILANCE
IY1-R-IY0-AH0-N, GUDERIAN YERIAN
OW1-S-IY0-AH0-N, PETROSSIAN(2)
AE1-N-IH0-SH-T, BANISHED VANISHED
AE1-P-R-AH0-K-AO0-R-N, CAPRICORN
EH1-M-IY0-K-L-AE2-D, SEMICLAD
AE1-L-AH0-T-AH0-N-Z, MALLETON'S
AH1-V-R-AH0-B-AH0-L, DISCOVERABLE(2)
AA1-S-IH2-HH, BASICH
AY1-R-AH0-L-Z, SPIRALS
EH1-SH-EH0-K, PESHEK
EH1-G-N-ER0, DEGNER EGNER EGNOR HEGNER LEGNER MEGNER REGNER SEGNER STEGNER WEGNER
EH1-P-TH, DEPTH
EH1-V-Z-IH2-N, REVZIN
AE1-N-D-L-EY2-D-IY0, LANDLADY
EH1-P-T-AH0-N-T, ACCEPTANT
AA1-K-S-AH0-D-AY2-Z-IH0-NG, OXIDIZING
AO1-SH-AH0-N-Z, CAUTIONS PRECAUTIONS
AA1-S-T-AH0-T-UW2-T, PROSTITUTE
